"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "CSS", "HTML", "JavaScript", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\art\art.component.ts", "TypeScript", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 5, 126
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\auth.guard.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\auth.guard.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\common\service\auth.service.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\common\service\forum.service.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\common\service\userservice.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 10, 70
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\email.service.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\email\emailRequest.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\environments\environment.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\header\header.component.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 6, 42
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\header\header.component.html", "HTML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\header\header.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\header\header.component.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\canvas-toBlob.d.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\chat.service.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 2, 9, 73
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\hluser.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 25, 166
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 78, 0, 0, 0, 5, 7, 90
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 238, 0, 0, 0, 0, 0, 47, 24, 309
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\home\message.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 6, 31
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\LoginRequest.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\login.component.css", "CSS", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 11, 72
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 32
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\login\login.component.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 3, 47
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\RegisterRequest.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.css", "CSS", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 62
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 48
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\register\register.component.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 6, 61
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\objects\product.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\product\product.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\product\product.service.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.css", "CSS", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 10, 62
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 1, 32
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.spec.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\shop\shop.component.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 10, 93
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.css", "CSS", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.html", "HTML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-create\thread-create.component.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 2, 8, 59
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-detail\thread-detail.component.css", "CSS", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 15, 88
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-detail\thread-detail.component.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 33
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-detail\thread-detail.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-detail\thread-detail.component.ts", "TypeScript", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 6, 107
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-list\thread-list.component.css", "CSS", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 11, 76
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-list\thread-list.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 2, 39
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-list\thread-list.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\thread-list\thread-list.component.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\user\user.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\user\user.component.html", "HTML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 3, 25
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\user\user.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\user\user.component.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 3, 87
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\download.service.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\youtube-dl.component.css", "CSS", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\youtube-dl.component.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 1, 25
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\youtube-dl.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\app\youtube-dl\youtube-dl.component.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 3, 20
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\main.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 8
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\styles.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 20, 56
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\src\window-global-fix.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 15
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\tsconfig.json", "JSON with Comments", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 0, 33
"c:\Users\dillo\Documents\probable-tribble\HAPPYLONELY-FRONTEND\src\main\frontend\tsconfig.spec.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 13822, 14, 32, 1894, 608, 440, -19, -3266, -22, -17, -224, 13262